user_id,profile_type,username,age,gender,height_cm,weight_kg,bmi,primary_goal,fitness_level,medical_conditions,injuries,sleep_hours_avg,sleep_quality,stress_level,water_intake_liters,equipment_available,diet_type,food_allergies,weekly_food_budget_usd,session_duration_min,is_edge_case,edge_case_name
1,standard_synthetic,synth_user_1,25,other,156,79.1,32.5,rehabilitation,beginner,,,7.4,poor,1,1.7,Dumbbells,low_carb,,184,20,False,
2,standard_synthetic,synth_user_2,30,other,189,65.6,18.4,endurance,intermediate,,,6.1,fair,6,1.8,Bodyweight Only,vegetarian,dairy,121,45,False,
3,standard_synthetic,synth_user_3,34,other,157,78.6,31.9,maintenance,advanced,,neck,7.5,good,10,2.0,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,199,30,False,
4,standard_synthetic,synth_user_4,23,female,169,84.4,29.6,maintenance,intermediate,,,5.8,good,2,3.0,Dumbbells,low_carb,dairy,92,30,False,
5,standard_synthetic,synth_user_5,42,female,172,89.6,30.3,muscle_gain,beginner,Knee_Arthritis,,8.2,excellent,5,1.7,Resistance Bands,vegan,peanuts,197,60,False,
6,standard_synthetic,synth_user_6,59,female,184,54.0,15.9,rehabilitation,intermediate,,,8.6,excellent,6,2.0,Dumbbells,low_carb,,156,20,False,
7,standard_synthetic,synth_user_7,25,male,164,88.2,32.8,rehabilitation,intermediate,Glaucoma,,7.1,poor,2,3.2,Resistance Bands,omnivore,,58,45,False,
8,standard_synthetic,synth_user_8,28,female,184,48.1,14.2,fat_loss,advanced,Osteoporosis,shoulder,6.2,fair,3,2.4,Dumbbells,low_carb,,165,20,False,
9,standard_synthetic,synth_user_9,38,other,186,48.8,14.1,fat_loss,advanced,"Osteoporosis,Diabetes_T2",,6.9,poor,9,3.4,Dumbbells,high_protein,peanuts,170,30,False,
10,standard_synthetic,synth_user_10,51,female,193,65.8,17.7,maintenance,intermediate,,,9.0,good,8,3.7,Bodyweight Only,vegetarian,dairy,93,30,False,
11,standard_synthetic,synth_user_11,39,male,156,86.5,35.5,fat_loss,beginner,,,5.3,poor,6,1.7,Dumbbells,omnivore,,154,30,False,
12,standard_synthetic,synth_user_12,26,other,191,72.2,19.8,fat_loss,beginner,,,7.6,good,7,2.5,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,45,60,False,
13,standard_synthetic,synth_user_13,39,other,161,58.4,22.5,maintenance,intermediate,,,6.0,poor,8,3.5,"Barbell,Dumbbells,Pull-Up Bar",vegetarian,,196,90,False,
14,standard_synthetic,synth_user_14,23,male,170,67.5,23.4,fat_loss,beginner,,,6.5,excellent,5,3.8,Bodyweight Only,omnivore,,138,90,False,
15,standard_synthetic,synth_user_15,49,other,164,56.0,20.8,maintenance,beginner,,,5.2,excellent,9,3.8,Dumbbells,vegetarian,peanuts,160,20,False,
16,standard_synthetic,synth_user_16,22,male,193,63.1,16.9,rehabilitation,advanced,Glaucoma,,5.2,poor,7,3.1,Resistance Bands,omnivore,dairy,82,45,False,
17,standard_synthetic,synth_user_17,34,male,180,65.9,20.3,fat_loss,intermediate,Cardiac_Disease,,7.5,poor,2,2.8,Resistance Bands,vegan,peanuts,119,20,False,
18,standard_synthetic,synth_user_18,41,male,173,67.1,22.4,rehabilitation,intermediate,Osteoporosis,,8.7,poor,3,2.2,"Barbell,Dumbbells,Pull-Up Bar",low_carb,"peanuts,gluten",69,45,False,
19,standard_synthetic,synth_user_19,56,female,168,78.1,27.7,endurance,intermediate,,,8.6,poor,2,3.1,Resistance Bands,vegetarian,,30,45,False,
20,standard_synthetic,synth_user_20,58,male,171,67.3,23.0,fat_loss,beginner,,,8.8,fair,9,1.6,Resistance Bands,low_carb,,171,30,False,
21,standard_synthetic,synth_user_21,26,female,157,60.9,24.7,fat_loss,intermediate,Hypertension,shoulder,8.1,excellent,10,3.4,Dumbbells,vegan,,75,60,False,
22,standard_synthetic,synth_user_22,29,male,176,95.2,30.7,maintenance,beginner,,,8.1,poor,7,3.7,Bodyweight Only,vegan,dairy,81,60,False,
23,standard_synthetic,synth_user_23,37,female,169,57.4,20.1,maintenance,advanced,Glaucoma,,7.0,good,1,1.8,Resistance Bands,vegan,gluten,178,45,False,
24,standard_synthetic,synth_user_24,24,male,193,79.6,21.4,rehabilitation,beginner,Pregnancy_T3,,6.0,excellent,1,2.8,Dumbbells,omnivore,"peanuts,dairy",140,20,False,
25,standard_synthetic,synth_user_25,39,other,194,61.2,16.3,maintenance,intermediate,Osteoporosis,,7.8,fair,4,2.6,Bodyweight Only,vegan,,187,90,False,
26,standard_synthetic,synth_user_26,43,female,190,83.0,23.0,endurance,intermediate,,,6.8,fair,9,2.7,Dumbbells,vegetarian,gluten,102,90,False,
27,standard_synthetic,synth_user_27,58,other,194,62.1,16.5,muscle_gain,beginner,Knee_Arthritis,,5.1,fair,8,3.0,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,136,90,False,
28,standard_synthetic,synth_user_28,62,male,179,82.2,25.7,fat_loss,intermediate,,,5.9,excellent,1,2.9,"Barbell,Dumbbells,Pull-Up Bar",high_protein,,64,60,False,
